engine_code	glyph_index	NFT_byte_offset
0000	01E0	000F60
0001	01E1	000F68
0002	01E2	000F70
0003	01E3	000F78
0004	01E4	000F80
0005	01E5	000F88
0006	01E6	000F90
0007	01E7	000F98
0008	01E8	000FA0
0009	01E9	000FA8
000A	01EA	000FB0
000B	01EB	000FB8
000C	01EC	000FC0
000D	01ED	000FC8
000E	01EE	000FD0
000F	01EF	000FD8
0010	01F0	000FE0
0011	01F1	000FE8
0012	01F2	000FF0
0013	01F3	000FF8
0014	01F4	001000
0015	01F5	001008
0016	01F6	001010
0017	01F7	001018
0018	01F8	001020
0019	01F9	001028
001A	01FA	001030
001B	01FB	001038
001C	01FC	001040
001D	01FD	001048
001E	01FE	001050
001F	01FF	001058
0020	0200	001060
0021	0201	001068
0022	0202	001070
0023	0203	001078
0024	0204	001080
0025	0205	001088
0026	0206	001090
0027	0207	001098
0028	0208	0010A0
0029	0209	0010A8
002A	020A	0010B0
002B	020B	0010B8
002C	020C	0010C0
002D	020D	0010C8
002E	020E	0010D0
002F	020F	0010D8
0030	0210	0010E0
0031	0211	0010E8
0032	0212	0010F0
0033	0213	0010F8
0034	0214	001100
0035	0215	001108
0036	0216	001110
0037	0217	001118
0038	0218	001120
0039	0219	001128
003A	021A	001130
003B	021B	001138
003C	021C	001140
003D	021D	001148
003E	021E	001150
003F	021F	001158
0040	0220	001160
0041	0221	001168
0042	0222	001170
0043	0223	001178
0044	0224	001180
0045	0225	001188
0046	0226	001190
0047	0227	001198
0048	0228	0011A0
0049	0229	0011A8
004A	022A	0011B0
004B	022B	0011B8
004C	022C	0011C0
004D	022D	0011C8
004E	022E	0011D0
004F	022F	0011D8
0050	0230	0011E0
0051	0231	0011E8
0052	0232	0011F0
0053	0233	0011F8
0054	0234	001200
0055	0235	001208
0056	0236	001210
0057	0237	001218
0058	0238	001220
0059	0239	001228
005A	023A	001230
005B	023B	001238
005C	023C	001240
005D	023D	001248
005E	023E	001250
005F	023F	001258
0060	0240	001260
0061	0241	001268
0062	0242	001270
0063	0243	001278
0064	0244	001280
0065	0245	001288
0066	0246	001290
0067	0247	001298
0068	0248	0012A0
0069	0249	0012A8
006A	024A	0012B0
006B	024B	0012B8
006C	024C	0012C0
006D	024D	0012C8
006E	024E	0012D0
006F	024F	0012D8
0070	0250	0012E0
0071	0251	0012E8
0072	0252	0012F0
0073	0253	0012F8
0074	0254	001300
0075	0255	001308
0076	0256	001310
0077	0257	001318
0078	0258	001320
0079	0259	001328
007A	025A	001330
007B	025B	001338
007C	025C	001340
007D	025D	001348
007E	025E	001350
007F	025F	001358
0080	0260	001360
0081	0261	001368
0082	0262	001370
0083	0263	001378
0084	0264	001380
0085	0265	001388
0086	0266	001390
0087	0267	001398
0088	0268	0013A0
0089	0269	0013A8
008A	026A	0013B0
008B	026B	0013B8
008C	026C	0013C0
008D	026D	0013C8
008E	026E	0013D0
008F	026F	0013D8
0090	0270	0013E0
0091	0271	0013E8
0092	0272	0013F0
0093	0273	0013F8
0094	0274	001400
0095	0275	001408
0096	0276	001410
0097	0277	001418
0098	0278	001420
0099	0279	001428
009A	027A	001430
009B	027B	001438
009C	027C	001440
009D	027D	001448
009E	027E	001450
009F	027F	001458
00A0	0280	001460
00A1	0281	001468
00A2	0282	001470
00A3	0283	001478
00A4	0284	001480
00A5	0285	001488
00A6	0286	001490
00A7	0287	001498
00A8	0288	0014A0
00A9	0289	0014A8
00AA	028A	0014B0
00AB	028B	0014B8
00AC	028C	0014C0
00AD	028D	0014C8
00AE	028E	0014D0
00AF	028F	0014D8
00B0	0290	0014E0
00B1	0291	0014E8
00B2	0292	0014F0
00B3	0293	0014F8
00B4	0294	001500
00B5	0295	001508
00B6	0296	001510
00B7	0297	001518
00B8	0298	001520
00B9	0299	001528
00BA	029A	001530
00BB	029B	001538
00BC	029C	001540
00BD	029D	001548
00BE	029E	001550
00BF	029F	001558
00C0	02A0	001560
00C1	02A1	001568
00C2	02A2	001570
00C3	02A3	001578
00C4	02A4	001580
00C5	02A5	001588
00C6	02A6	001590
00C7	02A7	001598
00C8	02A8	0015A0
00C9	02A9	0015A8
00CA	02AA	0015B0
00CB	02AB	0015B8
00CC	02AC	0015C0
