// MAR ÄRM definition names and descriptions (445 records, 128 bytes each)
// One record per line: @<rom offset> <text>
// Text is re-encoded to Shift-JIS at build time; a line may not grow
// past its fixed source field. Anything after // is a source comment.

@1B097C ＥＭＰＴＹ  // EN: Empty
@1B099E 何のこうかもない  // EN: Has no effect.
@1B09FC バッボ  // EN: Babbo
@1B0A1E 生きている、ふしぎなアーム  // EN: A mysterious living ÄRM.
@1B0A7C バトルスコップ  // EN: Battle Scoop
@1B0A9E 武器になるスコップ  // EN: A scoop used as a weapon.
@1B0AFC アースウェイブ  // EN: Earth Wave
@1B0B1E 地面を波打たせる  // EN: Makes the ground ripple.
@1B0B7C アースビーンズ  // EN: Earth Beans
@1B0B9E ツタをからませてうごけなくする  // EN: Entangles the enemy in vines.
@1B0BFC マジカルマッシュルーム  // EN: Magical Mushroom
@1B0C1E 幻覚を見せて無防備にする  // EN: Causes hallucinations, leaving the enemy defenseless.
@1B0C7C ラフレシア  // EN: Rafflesia
@1B0C9E 巨大な食虫植物がかみつく  // EN: A giant carnivorous plant bites.
@1B0CFC アースマグマ  // EN: Earth Magma
@1B0D1E 地面からマグマがふき出す  // EN: Magma erupts from the ground.
@1B0D7C ドリアンシュート  // EN: Durian Shoot
@1B0D9E 臭い木の実を投げつける  // EN: Throws foul-smelling fruit.
@1B0DFC ブーメランスコップ  // EN: Boomerang Scoop
@1B0E1E スコップをブーメランにしてとばす  // EN: Throws the scoop like a boomerang.
@1B0E7C ドリルスコップ  // EN: Drill Scoop
@1B0E9E スコップをドリルにしてぶつける  // EN: Turns the scoop into a drill.
@1B0EFC ドリルスコップ　ＳＰ  // EN: Drill Scoop SP
@1B0F1E すごいドリルスコップ！  // EN: An amazing Drill Scoop!
@1B0F7C アイスリング  // EN: Ice Ring
@1B0F9E 腕を氷の剣にする  // EN: Turns an arm into an ice sword.
@1B0FFC スノーマンガード　ＣＬ２  // EN: Snowman Guard CL2
@1B101E ユキちゃんがガードする  // EN: Yuki guards the user.
@1B107C スノーマンガード　ＣＬ３  // EN: Snowman Guard CL3
@1B109E 長時間ユキちゃんがガードする  // EN: Yuki guards for a long time.
@1B10FC スノーマンアタック　ＣＬ１  // EN: Snowman Attack CL1
@1B111E 敵の上にユキちゃんをおとす  // EN: Drops Yuki onto the enemy.
@1B117C スノーマンアタック　ＣＬ２  // EN: Snowman Attack CL2
@1B119E ユキちゃんの回転アタック  // EN: Yuki performs a spinning attack.
@1B11FC スノーマンアタック　ＣＬ３  // EN: Snowman Attack CL3
@1B121E ツララをロケット発射する  // EN: Fires icicles like rockets.
@1B127C スノーマンアタック　ＣＬ４  // EN: Snowman Attack CL4
@1B129E モーレツなふぶきをはく  // EN: Blasts out a fierce blizzard.
@1B12FC スノーマンアタック　ＣＬ５  // EN: Snowman Attack CL5
@1B131E なだれをおこす  // EN: Causes an avalanche.
@1B137C スノーマンアタック　ＳＰ  // EN: Snowman Attack SP
@1B139E すごいスノーマンアタック！  // EN: An amazing Snowman Attack!
@1B13FC １３トーテムポールチェーン  // EN: 13 Totem Pole Chain
@1B141E 地面からトーテムポールが飛び出す  // EN: Totem poles burst from the ground.
@1B147C １３トーテムポールチェーン　ＳＰ  // EN: 13 Totem Pole Chain SP
@1B149E すごい１３トーテムポール！  // EN: An amazing 13 Totem Pole!
@1B14FC ゼピュロスブルーム  // EN: Zephyrus Broom
@1B151E 風をあやつるほうき  // EN: A broom that controls the wind.
@1B157C リングアーマー　ＣＬ１  // EN: Ring Armor CL1
@1B159E リングアーマーの一撃  // EN: Ring Armor delivers a strike.
@1B15FC リングアーマー　ＣＬ２  // EN: Ring Armor CL2
@1B161E リングアーマーの連続攻撃  // EN: Ring Armor attacks repeatedly.
@1B167C リングアーマー　ＣＬ３  // EN: Ring Armor CL3
@1B169E リングアーマーが斬る  // EN: Ring Armor slashes the enemy.
@1B16FC リングアーマー　ＣＬ４  // EN: Ring Armor CL4
@1B171E リングアーマーがたくさん登場  // EN: Summons many Ring Armors.
@1B177C リングダガー  // EN: Ring Dagger
@1B179E ダガーで斬りつける  // EN: Slashes with a dagger.
@1B17FC リングナイフ  // EN: Ring Knife
@1B181E ナイフで刺す  // EN: Stabs with a knife.
@1B187C リングフルーレ  // EN: Ring Foil
@1B189E フルーレで斬って刺す  // EN: Slashes and thrusts with a foil.
@1B18FC リングソード  // EN: Ring Sword
@1B191E ソードでクロス斬り  // EN: Performs a cross slash.
@1B197C リングダブルソード  // EN: Ring Double Sword
@1B199E ソードで斬りまくる  // EN: Unleashes a flurry of slashes.
@1B19FC フライングレオ  // EN: Flying Leo
@1B1A1E 空飛ぶライオンが体当たり  // EN: A flying lion charges the enemy.
@1B1A7C ブリキン　ＣＬ２  // EN: Burikin CL2
@1B1A9E ブリキンがぶんなぐる  // EN: Burikin lands a heavy punch.
@1B1AFC ブリキン　ＣＬ３  // EN: Burikin CL3
@1B1B1E ブリキンのタックル＆パンチ  // EN: Burikin tackles and punches.
@1B1B7C マジックミラーリング  // EN: Magic Mirror Ring
@1B1B9E 離れた場所で会話ができる  // EN: Allows conversation over a distance.
@1B1BFC ５ダガーブレスレット  // EN: 5-Dagger Bracelet
@1B1C1E ５本のダガーを前に飛ばす  // EN: Launches five daggers forward.
@1B1C7C １０ダガーブレスレット  // EN: 10-Dagger Bracelet
@1B1C9E １０本のダガーを前に飛ばす  // EN: Launches ten daggers forward.
@1B1CFC ２０ダガーブレスレット  // EN: 20-Dagger Bracelet
@1B1D1E ２０本のダガーを前後に飛ばす  // EN: Launches twenty daggers forward and backward.
@1B1D7C ネックレスブレード  // EN: Necklace Blade
@1B1D9E 大きな剣が敵を斬る  // EN: A large sword slashes the enemy.
@1B1DFC カゴの鳥  // EN: Caged Bird
