// MAR script block 1B0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@1B2BFC フレイムボール　ＣＬ４  // fureimubo-ru ???
@1B2C1E 長い炎を飛ばす  // EN: Launches a long stream of flame.
@1B2C7C パワーリング　ＣＬ１  // pawa-ringu ???
@1B2C9E 腕力がすこし強くなる  // EN: Slightly increases physical strength.
@1B2CFC パワーリング　ＣＬ２  // pawa-ringu ???
@1B2D1E 腕力がかなり強くなる  // EN: Greatly increases physical strength.
@1B2D7C パワーリング　ＣＬ３  // pawa-ringu ???
@1B2D9E 腕力がすごく強くなる  // EN: Dramatically increases physical strength.
@1B2DFC パワーリング　ＣＬ４  // pawa-ringu ???
@1B2E1E 腕力がとてつもなく強くなる  // EN: Enormously increases physical strength.
@1B2E7C ヴィンダールブ　ＣＬ３  // ?inda-rubu ???
@1B2E9E 突風をぶつける  // EN: Hits the target with a gust of wind.
@1B2EFC ヴィンダールブ　ＣＬ４  // ?inda-rubu ???
@1B2F1E 竜巻を作ってぶつける  // EN: Creates a tornado and sends it at the target.
@1B2F7C ヴィンダールブ　ＣＬ５  // ?inda-rubu ???
@1B2F9E 台風を発生させる  // EN: Creates a typhoon.
@1B2FFC ジッパー  // jippa-
@1B301E 何が出るかはお楽しみ  // EN: What comes out is a surprise.
@1B307C レインドッグ  // reindoggu
@1B309E 敵を食い尽くすどう猛な犬  // EN: A ferocious dog that devours enemies.
@1B30FC レインドッグ　ＳＰ  // reindoggu ??
@1B311E すごいレインドッグ！  // sugoireindoggu!
@1B317C スクリューサーベル  // sukuryu-sa-beru
@1B319E うず巻きサーベルで刺す  // EN: Stabs with a spiral saber.
@1B31FC ストーンキューブ　ＣＬ２  // suto-nkyu-bu ???
@1B321E 自爆する石が降ってくる  // EN: Exploding stones rain down.
@1B327C ストーンキューブ　ＣＬ３  // suto-nkyu-bu ???
@1B329E 自爆する石が多く降ってくる  // EN: Many exploding stones rain down.
@1B32FC ストーンキューブ　ＣＬ４  // suto-nkyu-bu ???
@1B331E 自爆する石がたくさん降ってくる  // EN: A great many exploding stones rain down.
@1B337C ストーンキューブ　ＣＬ５  // suto-nkyu-bu ???
@1B339E マグマのヘビが飛び回る  // EN: A magma snake flies around.
@1B33FC シャドーマン  // shado-man
@1B341E 自分の分身が戦う  // EN: A duplicate of the user fights.
@1B347C ナイフリング  // naifuringu
@1B349E 前向きにナイフで刺す  // EN: Stabs forward with a knife.
@1B34FC クラブリング  // kuraburingu
@1B351E 前向きにこん棒でなぐる  // EN: Strikes forward with a club.
@1B357C ソードリング  // so-doringu
@1B359E 前向きに剣で斬る  // EN: Slashes forward with a sword.
@1B35FC アックスリング  // akkusuringu
@1B361E 前向きにオノをふりおろす  // EN: Swings an axe down in front.
@1B367C カタナリング  // katanaringu
@1B369E 前向きに日本刀で斬る  // EN: Slashes forward with a katana.
@1B36FC ウォーターナイフリング  // uo-ta-naifuringu
@1B371E 前向きに水属性のナイフで刺す  // EN: Stabs forward with a water-element knife.
@1B377C ウォータークラブリング  // uo-ta-kuraburingu
@1B379E 前向きに水属性のこん棒でなぐる  // EN: Strikes forward with a water-element club.
@1B37FC ウォーターソードリング  // uo-ta-so-doringu
@1B381E 前向きに水属性の剣で斬る  // EN: Slashes forward with a water-element sword.
@1B387C ウォーターアックスリング  // uo-ta-akkusuringu
@1B389E 前向きに水属性のオノをふりおろす  // EN: Swings down a water-element axe.
@1B38FC ウォーターカタナリング  // uo-ta-katanaringu
@1B391E 前向きに水属性の日本刀で斬る  // EN: Slashes forward with a water-element katana.
@1B397C ファイアナイフリング  // fuaianaifuringu
@1B399E 前向きに火属性のナイフで刺す  // EN: Stabs forward with a fire-element knife.
@1B39FC ファイアクラブリング  // fuaiakuraburingu
@1B3A1E 前向きに火属性のこん棒でなぐる  // EN: Strikes forward with a fire-element club.
@1B3A7C ファイアソードリング  // fuaiaso-doringu
@1B3A9E 前向きに火属性の剣で斬る  // EN: Slashes forward with a fire-element sword.
@1B3AFC ファイアアックスリング  // fuaiaakkusuringu
@1B3B1E 前向きに火属性のオノをふりおろす  // EN: Swings down a fire-element axe.
@1B3B7C ファイアカタナリング  // fuaiakatanaringu
@1B3B9E 前向きに火属性の日本刀で斬る  // EN: Slashes forward with a fire-element katana.
@1B3BFC リーフナイフリング  // ri-funaifuringu
@1B3C1E 前向きに木属性のナイフで刺す  // EN: Stabs forward with a wood-element knife.
@1B3C7C リーフクラブリング  // ri-fukuraburingu
@1B3C9E 前向きに木属性のこん棒でなぐる  // EN: Strikes forward with a wood-element club.
@1B3CFC リーフソードリング  // ri-fuso-doringu
@1B3D1E 前向きに木属性の剣で斬る  // EN: Slashes forward with a wood-element sword.
@1B3D7C リーフアックスリング  // ri-fuakkusuringu
@1B3D9E 前向きに木属性のオノをふりおろす  // EN: Swings down a wood-element axe.
@1B3DFC リーフカタナリング  // ri-fukatanaringu
@1B3E1E 前向きに木属性の日本刀で斬る  // EN: Slashes forward with a wood-element katana.
@1B3E7C ウィンドナイフリング  // uindonaifuringu
@1B3E9E 前向きに風属性のナイフで刺す  // EN: Stabs forward with a wind-element knife.
