// MAR strings block 1C0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@1C0806 AD4_P_2A
@1C0832 AD4_P_3A
@1C085E AD4_P_4A
@1C088A AD4_P_5A
@1C08B6 AD4_P_6A
@1C08E2 AD4_P_7A
@1C0960 AD0_B_A.KMP
@1C09B0 AD0_P_2A.KMPP-<01>
@1C09C0 AD0_P_3A.KMP<10>L<01>
@1C0A40 AD0_R_3A.KMP<10>D<03>
@1C0A70 AD0_R_6A.KMPPf<04>
@1C0AC0 AD0_R_BA.KMP<10>J<06>
@1C0AE0 AD1_B_A.KMP
@1C0AF0 AD1_P_0A.KCGPl<07>
@1C0B00 AD1_P_0A.KCL
@1C0B40 AD1_P_3A.KMP <13><08>
@1C0BC0 AD1_R_3A.KMP <0B><0A>
@1C0BF0 AD1_R_6A.KMP`-<0B>
@1C0C40 AD1_R_BA.KMP <11><0D>
@1C0C60 AD3_B_A.KMP
@1C0C70 AD3_P_0A.KCG`3<0E>
@1C0CE0 AD3_P_5A.KMPp)<0F>
@1C0CF0 AD3_P_6A.KMP0W<0F>
@1C0D20 AD3_R_1A.KMPp<13><10>
@1C0D30 AD3_R_2A.KMP0t<10>
@1C0DA0 AD3_R_9A.KMPp<19><13>
@1C0DB0 AD3_R_AA.KMP0z<13>
@1C0DE0 AD4_B_A.KMP
@1C0E00 AD4_P_0A.KCLp4<15>
@1C0E30 AD4_P_2A.KMPPr<15>
@1C0E70 AD4_P_6A.KMPP<0B><16>
@1C0E80 AD4_P_7A.KMP<10>9<16>
@1C0EB0 AD4_R_2A.KMPP(<17>
@1C0F00 AD4_R_7A.KMP<10><0C><19>
@1C0F30 AD4_R_AA.KMPP.<1A>
@1C0F60 AD_BG01.KCG
@1C0F70 AD_BG01.KCL
@1C0F80 AD_BG01.KMP
@1C0F90 AD_BG02.KCG
@1C0FA0 AD_BG02.KCL
@1C0FB0 AD_BG02.KMP
@1C0FC0 AL_BG01.KCG
@1C0FD0 AL_BG01.KCL
@1C0FE0 AL_BG01.KMP
@1C0FF0 AL_BG02.KCG
@1C1000 AL_BG02.KCL
@1C1010 AL_BG02.KMP
@1C1020 AS_BG01.KCG
@1C1030 AS_BG01.KCL
@1C1040 AS_BG01.KMP
@1C1050 AS_BG02.KCG
@1C1060 AS_BG02.KCL
@1C1070 AS_BG02.KMP
@1C1080 AT_BG01.KCG
@1C1090 AT_BG01.KCL
@1C10A0 AT_BG01.KMP
@1C10B0 BA06.TCG
@1C10C0 BA06.TCL
@1C10D0 BA06_00.TSC
@1C10E0 BA06_01.TSC
@1C10F0 BA06_BG.TCG
@1C1100 BA06_BG.TCL
@1C1140 BA07.TCG
@1C1150 BA07.TCL
@1C1160 BA07.TSC
@1C1170 BGM_SET.SPC
@1C1180 BTIM00.SPC
@1C11A0 BTIM03.SPC
@1C11B0 BTIM04.SPC
@1C11D0 BTIM05.SPC
@1C11E0 BTIM07.SPC
@1C11F0 BTIM24_1.SPC0<13><1D>
@1C1210 BTIM24_4.SPCp&<1D>
@1C1220 BTIM25_1.SPC
@1C1240 BTIM25_4.SPCPG<1D>
@1C1250 BTIM26_1.SPCP_<1D>
@1C1280 BTIM40.SPC
@1C1290 BTIM41.SPC
@1C12A0 BTIM42.SPC
@1C12C0 BTI_N.SPC
@1C12F0 BTOM00.SPC
@1C1310 BTOM03.SPC
@1C1320 BTOM04.SPC
@1C1340 BTOM04_6.SPC
@1C1350 BTOM05.SPC
@1C1360 BTOM07.SPC
@1C1440 BTOM40.SPC
@1C1450 BTOM41.SPC
@1C1460 BTOM42.SPC
@1C1470 BTO_DEF.SPC
@1C14A0 BTO_N.SPC
@1C14C0 CH_ESC.SPC
@1C14D0 CH_M00A.SPC
@1C14F0 CH_M03A.SPC
@1C1500 CH_M05A.SPC
@1C1510 CH_M08A.SPC
@1C1520 CH_M09A.SPC
@1C1530 CH_M10.SPC
@1C1540 CH_M11.SPC
@1C1580 CLPASS.KCG
@1C1590 CLPASS.KCL
@1C15A0 CLPASS.KMP
@1C15B0 CM_BG01.KCG
@1C15C0 CM_BG01.KCL
@1C15D0 CM_BG01.KMP
@1C15E0 CM_BG02.KCG
@1C15F0 CM_BG02.KCL
@1C1600 CM_BG02.KMP
@1C1610 D0_BOSS.SPC
@1C1630 D0_ITEM.SPC
@1C1640 D0_MAKE.SPC
@1C1650 D0_NORM.SPC
@1C1660 D1_BOSS.SPC
@1C1680 D1_ITEM.SPC
@1C1690 D1_MAKE.SPC
@1C16A0 D2_BOSS.SPC
@1C16C0 D2_ITEM.SPC
@1C16D0 D2_MAKE.SPC
@1C16E0 D3_BOSS.SPC
@1C1700 D3_ITEM.SPC
@1C1710 D3_MAKE.SPC
@1C1720 D4_BOSS.SPC
@1C1740 D4_ITEM.SPC
@1C1750 D4_MAKE.SPC
@1C1760 DBG_BTL.SPC
@1C1780 DBG_ESC.SPC
@1C1790 DBG_FACE.SPC
@1C17B0 DS_BG01.KCG
@1C17C0 DS_BG01.KCL
@1C17D0 DS_BG01.KMP
@1C17E0 DS_BG02.KCG
@1C17F0 DS_BG02.KCL
@1C1800 DS_BG02.KMP
@1C1830 D_VS_R.SPC
@1C1850 EFFECT.NCD
@1C1860 END2.SPC
@1C1870 ENE_SET.SPC
@1C1880 EV_AL01.SPC
@1C1890 EV_AL02.SPC
@1C18A0 EV_AL02B.SPCpe]
@1C18B0 EV_AL03.SPC
@1C18C0 EV_AL04.SPC
@1C18D0 EV_BA01.SPC
@1C18E0 EV_BA02.SPC
@1C18F0 EV_BA03.SPC
@1C1900 EV_BA04.SPC
@1C1950 EV_GO01.SPC
@1C1960 EV_GO02.SPC
@1C1970 EV_GO03.SPC
@1C1980 EV_GO04.SPC
@1C1990 EV_GO05.SPC
@1C19A0 EV_GO06.SPC
@1C19B0 EV_GO07.SPC
@1C19C0 EV_GO08.SPC
@1C19D0 EV_GO09.SPC
@1C19E0 EV_GO10.SPC
@1C19F0 EV_GO11.SPC
@1C1A00 EV_GO12.SPC
@1C1A10 EV_GTOB.SPC
@1C1A30 EV_ICE01.SPC`?^
@1C1A40 EV_ICE02.SPCPI^
@1C1A50 EV_ICE03.SPC
@1C1A60 EV_ICE04.SPC0\^
@1C1A70 EV_ICE05.SPCP_^
@1C1AA0 EV_ICE08.SPC
@1C1AC0 EV_ICE10.SPC
@1C1AF0 EV_IWA.SPC
@1C1B00 EV_JA01.SPC
@1C1B10 EV_JA02.SPC
@1C1B20 EV_JA03.SPC
@1C1B30 EV_JA04.SPC
@1C1B40 EV_JA04B.SPC
@1C1B60 EV_MON01.SPCp
@1C1BA0 EV_MON05.SPC@<15>_
@1C1BC0 EV_PA01.SPC
@1C1BD0 EV_RT01.SPC
@1C1BE0 EV_RT02.SPC
@1C1BF0 EV_RT03.SPC
@1C1C10 EV_T1KIL.SPC A_
@1C1C30 EV_T3KIL.SPC0T_
@1C1C40 EV_T4KIL.SPC`m_
@1C1C50 EV_UTA01.SPC
@1C1C60 EV_VE01.SPC
@1C1C70 EV_VE02.SPC
@1C1C80 FONT.NFT
@1C1CA0 GA08.TCG
@1C1CB0 GA08.TCL
@1C1CC0 GA08_00.TSC
@1C1CD0 GA08_01.TSC
@1C1CE0 GA08_02.TSC
@1C1CF0 GA08_03.TSC
@1C1D00 GA08_10.TSC
@1C1D10 GA08_11.TSC
@1C1D20 GA08_12.TSC
@1C1D30 GA08_13.TSC
@1C1D40 GA13.TCG
@1C1D50 GA13.TCL
@1C1D60 GA13_00.TSC
@1C1D70 GA13_01.TSC
@1C1D80 GA13_02.TSC
@1C1D90 GA13_03.TSC
@1C1DA0 GA13_04.TSC
@1C1DB0 GA13_05.TSC
@1C1DC0 GA13_06.TSC
@1C1DD0 GA13_10.TSC
@1C1DE0 GA13_11.TSC
@1C1DF0 GA24.TCG
@1C1E00 GA24.TCL
@1C1E10 GA24_00.TSC
@1C1E20 GA24_01.TSC
@1C1E30 GA24_02.TSC
