// MAR strings block 310000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@313DB8 @<0C>a<0C>
@313E0C AD4_P_0A.KCG
@313E4C AD4_P_0A.KCL
@313EB0 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@313F28 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@313FA8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@314028 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3140A8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@314128 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3141A8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@314428 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><16><11>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
