// MAR strings block 330000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@33514E !<04>r<12>r<12>!
@3351CE ,<04>r<12>r<12>,
@3384F2 X<02>Y<02>
@338572 Y<02>Y<02>
@33924C AD4_P_0A.KCG
@33928C AD4_P_0A.KCL
@339802 q"q"q"q"q"<0E>
@339882 q"q"q"X<11>Y<11><05><04><1B>
@339902 q"q"q"l<11>m<11><05><04>'
@339982 q"q"q"q"q"<05><04>2
@339A02 q"q"q"q"q"<05><04>r<12>r<12>r<12>r<12><05>
@339A82 q"q"q"q"q"<05><04>r<12>r<12>r<12>r<12><05>
@339B02 q"q"q"q"q"<05><04>r<12>r<12>r<12>r<12><05>
@339B82 q"q"q"q"q"7<04><03>
@339CD8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@339D58 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@339DD8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A002 q"q"q"q"q"<06>
@33A058 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A082 q"q"q"q"q"<06>
@33A102 q"q"q"q"q"<06>
@33A10E r<12>r<12>r<12>r<12><05>
@33A182 q"q"q"q"q"<06>
@33A18E r<12>r<12>r<12>r<12><05>
@33A202 q"q"q"q"q"<05><04>r<12>r<12>r<12>r<12><05>
@33A282 q"q"q"q"q"<06>
@33A28E r<12>r<12>r<12>r<12><05>
@33A2D8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A302 q"q"q"q"q"<06>
@33A30E t<10>r<12>r<12>r<12><05>
@33A3D8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A458 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A4D6 !<04>r<12><02>
@33A4EA r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A502 q"q"q"q"q"<05><04>A<11>B<11>r<12>r<12>,
@33A556 ,<04>r<12><05>
@33A56A r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><02>
@33A582 q"q"q"q"q"7<04><03>
@33A596 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A7FE q"q"q"q"q"q"q"q"q"q"q"<05><04>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A87E q"q"q"q"q"q"q"q"q"q"q"<05><04>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A8EA r<12>r<12>r<12>M<11>N<11>O<11>P<11>Q<11>R<11><05>
@33A938 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33A96A r<12>r<12>r<12>`<11>a<11>b<11>c<11>d<11>e<11><05>
@33A9B8 q<10>r<10>s<10>t<10>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AA16 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AA96 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AB16 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AB96 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33ABEA \<10>]<10>^<10>r<12>r<12>r<12><16><11>r<12>r<12>!
@33AC14 !<04>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AC6A n<10>o<10>p<10>r<12>r<12>r<12>*<11>r<12>r<12>,
@33AC94 ,<04>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AEEA r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33AF6A r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>u<10>v<10>r<12>r<12><05>
@33B06A r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@33B2E8 ,<04>r<12>r<12>r<12>
@33D8C4 X<02>Y<02>
@33D944 Y<02>Y<02>
@33E42E X<02>Y<02>
@33E4AE Y<02>Y<02>
@33F30C AD4_P_0A.KCG
@33F34C AD4_P_0A.KCL
@33FDAA r<12>r<12>r<12>r<12>r<12>r<12><05>
@33FDB8 q"q"q"q"q"7<04><03>
@33FE2A r<12>r<12>r<12>r<12>r<12>r<12><05>
@33FEAA r<12>r<12>r<12>r<12>r<12>r<12><05>
@33FF2A r<12>r<12>r<12>r<12>r<12>r<12><05>
