// MAR strings block 380000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@38360C AT_BG01.KCG
@38364C AT_BG01.KCL
@383924  <01>!<01>"<01>
@383930 #<01>$<01>%<01>&<01>'<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>/<01>0<01>1<01>2<01>3<01>4<01>5<01>6<01>7<01>8<01>9<01>:<01>;<01><3C><01>=<01><3E><01>?<01>
@383970 @<01>A<01>B<01>C<01>D<01>E<01>F<01>G<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>O<01>P<01>Q<01>R<01>S<01>T<01>U<01>V<01>W<01>X<01>Y<01>Z<01>[<01>\<01>
@38D760 SCRP]<11>
@38D848 MAP01_1A
@38D89D MAP01_2A
@38D8F2 MAP01_3A
@38D947 MAP01_4A
@38D99C MAP01_5A
@38D9F1 MAP01_6A
@38DAEE MAP04_4A
@38DB43 MAP04_5A
@38DB98 MAP04_6A
@38DBED MAP04_7A
@38DCEA MAP06_1A
@38DD3F MAP06_2A
@38DDE8 MAP07_2A
@38DE3D MAP07_3A
@38DE92 MAP07_1A
@38E037 MAP11_1A
@38E08C MAP11_2A
@38E135 MAP24_1A
@38E18A MAP24_2A
@38E1DF MAP24_3A
@38E234 MAP24_4A
@38E289 MAP25_1A
@38E2DE MAP25_2A
@38E333 MAP25_3A
@38E388 MAP25_4A
@38E3DD MAP25_5A
@38E432 MAP26_1A
@38E487 MAP26_2A
@38E4DC MAP26_3A
@38E531 MAP26_4A
@38E586 MAP26_5A
@38E5DB MAP26_6A
@38E8D8 CODE"<03>
@38EBD8 BTI_PSET.SPC
@38EC0A GetBtlRoomNo
@38EF72 BTI_PSET.SPC
@38EFA2 GetBtlRoomNo
@38F08F EV_JA02.SPC
@38FD75 BTI_PSET.SPC
@38FDA6 GetBtlRoomNo
@38FFA8 CODEz<05>
