// MAR strings block 3A0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@3A95D9 @<06>@<02>
@3A99D5 @<17>@<03>
@3AA5C9 @<08>@<03>
@3AA605 @<03>@<03>
@3AA641 @<03>@<03>
@3AA67D @<03>@<03>
@3AA6CB  <0F>@<1F>@<03>
@3AA8C1 @<16>@<03>
@3AB8C5 @<01>@<05>
@3AB929 @<01>@<05>
@3AC649 @<08>@<05>
@3AF231 @<05>@<0B>
