// MAR strings block 3B0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@3B0735 @<02>@<0C>
@3B07FD @<0E>@<0C>
@3B2021 @<02>@<0E>
@3B20AD @<10>@<0E>
@3B2111 @<0F>@<0E>
@3B2125 @<07>@<0E>
@3B2175 @<0F>@<0E>
@3B2189 @<07>@<0E>
@3B4EED @<1B>@<0F>
@3B517F  <08>@<04>
@3B51F7  <08>@<04>
@3B525B  <08>@<04>
@3B660D @<08>@<11>
@3B6BD5 @<10>@<11>
@3B6C61 @<0E>@<11>
@3B6D51 @<0E>@<11>
@3B6EB9 @<14>@<11>
@3B6F43 @<06>@<04>
@3B6F6B @<06>@<04>
@3B7A21 @<08>@<13>
@3B7FE9 @<10>@<13>
@3B8075 @<0E>@<13>
@3B8165 @<0E>@<13>
@3B82CD @<14>@<13>
@3B8357 @<06>@<04>
@3B837F @<06>@<04>
@3B9015 @<08>@<14>
@3BE461 @<04><10><03>
@3BE4B1 @<06><10><03>
@3BE5A1 @<04><10><03>
@3BE911 @<04><10><03>
@3BE961 @<06><10><03>
@3BEA51 @<04><10><03>
