// MAR strings block 430000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@4330AD af<06><10>vf<06><10>vg
@43BC34 af<01><10>
@43BC4C a<01>`<01>a<11>a<01>v<11>f<01>vag<11>qv<16><11>
@43BE40 vha1<11>w<16><06><10>qg<01>
@43C034 a<16><01><10><10>vh<11>
@43C04C a<01>`<01>a<11>a<01>v<11>f<01>vag<11>qv<16><11>
@43DD5C g<16>v<06>
@43DDDC #<13>v<11>
@43DFD5 ag<01><10>ag<11><10><15><11><11>
@43E15C g<16>v<06>
@43E1DC #<13>v<11>
