// MAR strings block 580000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@580102 1<0F>l<01>
@5803BD 1<0F>x<01>
@5818B6 1<0F>T<01>
@582793 DITEMCOM.SPC
@5827BE FUNCP<03>
@5827C6 DungGetFloor
@5828DF BuffRand
@582B20 SCRP?<0E>
@582C32 r<01><01>2
@582D9F r<01><01>2
@582DB0 D2_BOSS.SPC
@582F7D D2_BOSS.SPC
@58314A D2_BOSS.SPC
@583317 D2_BOSS.SPC
@5834E4 D2_BOSS.SPC
@5836B1 D2_BOSS.SPC
@583722 FUNC9<02>
@5837E5 DungGetFloor
@5837FA DungSetFloor
@58380F DungGenMake
@583837 DungGenGetChrX
@583862 DungGenGetChrY
@58388D DungDispCoffer
@5838B8 DungSetBtlOdds
@5838E3 DungGenStart
@583970 SCRPP<08>
@583978 CODEz<06>
@583B16 AD_ALL_O
@583C62 AD_ALL_O
@584021 DungGetFloor
@584036 DungSaveScrName
@58404E DungGetBossFlg
@584074 BgIntAttr
@584086 DungGetBossBtl
@58409D BgSetAttrEnables
@584160 DungGetBossTreasure
@58417C DungSetBossFlg
@587D05 BTI_PSET.SPC
@587D7B ENE_SET.SPC
@587DAA DungGetFloor
@589BAE 1<0F>@<01>
@58B7CE 1<0F>L<01>
@58C2EB 1<0F>4<01>
@58C55E 1<0F>4<01>
@58C7C9 1<0F>4<01>
@58CA2F 1<0F>4<01>
@58CDE2 1<0F><10><01>
@58D011 1<0F><10><01>
@58D240 1<0F><10><01>
@58D460 1<0F><10><01>
@58D650 DITEMCOM.SPC
@58D67A FUNCP<04>
@58D682 DungGetFloor
@58D7EB BuffRand
@58DAE0 SCRP?<12>
@58DBF2 r<01><01>2
@58DD5F r<01><01>2
@58DD70 D3_BOSS.SPC
@58DF3D D3_BOSS.SPC
@58E10A D3_BOSS.SPC
@58E2D7 D3_BOSS.SPC
@58E4A4 D3_BOSS.SPC
@58E671 D3_BOSS.SPC
@58E83E D3_BOSS.SPC
@58EA0B D3_BOSS.SPC
@58EB65 DungGetFloor
@58EB7A DungSetFloor
@58EB8F DungGenMake
@58EBBF DungGenGetChrX
@58EBF2 DungGenGetChrY
@58EC25 DungDispCoffer
@58EC58 DungSetBtlOdds
@58EC8B DungGenStart
@58ED30 SCRPP<08>
@58ED38 CODEz<06>
@58EED6 AD_ALL_O
@58F022 AD_ALL_O
@58F3E1 DungGetFloor
@58F3F6 DungSaveScrName
@58F40E DungGetBossFlg
@58F434 BgIntAttr
@58F446 DungGetBossBtl
@58F45D BgSetAttrEnables
@58F520 DungGetBossTreasure
@58F53C DungSetBossFlg
