// MAR strings block 590000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@593D8E PHANTOM.SPC
@593F54 BTI_PSET.SPC
@593FCA ENE_SET.SPC
@593FF2 FUNCr<0A>
@593FFA DungGetFloor
@594A6C TERMSCRP6Y
@595AF6 1<0F>X<01>
@595D89 1<0F>X<01>
@59601C 1<0F>X<01>
@596410 1<0F>D<01>
@59668A 1<0F>D<01>
@5968FF 1<0F>D<01>
@596B6F 1<0F>D<01>
@596F82 1<0F><18><02>
@5972F6 1<0F><18><02>
@597674 1<0F><18><02>
@598722 1<0F><18><01>
@59938B 1<0F><0C><01>
@599E29 DITEMCOM.SPC
@599E52 FUNCP<05>
@599E5A DungGetFloor
@59A013 BuffRand
@59A3B0 SCRP-<17>
@59A4C2 r<01><01>2
@59A62F r<01><01>2
@59A640 D4_BOSS.SPC
@59A824 D4_BOSS.SPC
@59AA08 D4_BOSS.SPC
@59ABEC D4_BOSS.SPC
@59ADD0 D4_BOSS.SPC
@59AFB4 D4_BOSS.SPC
@59B198 D4_BOSS.SPC
@59B37C D4_BOSS.SPC
@59B560 D4_BOSS.SPC
@59B72D D4_BOSS.SPC
@59B79E FUNC;<03>
@59B8B1 DungGetFloor
@59B8C6 DungSetFloor
@59B8DB DungGenMake
@59B913 DungGenGetChrX
@59B94E DungGenGetChrY
@59B989 DungDispCoffer
@59B9C4 DungSetBtlOdds
@59B9FF DungGenStart
@59BA9E DungChangeTbl
@59BAF0 SCRPl<03>
@59BAF8 CODEz<02>
@59BD82 SetCrtFade
@59BDA9 PmbStatusInit
@59BDBF PmbDeckMake
@59BDD3 PmbDefFashion
@59BDED SetBabbo
@59BDFE PmbSetFriend
@59BE22 BgIntAttr
@59BE34 PmbSetParty
@59BE70 SCRPL<14>
@59BE78 CODE&<11>
@59BE9A BTI_PSET.SPC
@59C98B BTI_PSET.SPC
@59CFA6 FUNC<12><03>
@59CFAE GetBtlRoomNo
@59D08F BtlFldLock
@59D0AA BtlLogoPut
@59D0ED BtlDeckMake
@59D101 BtlDeckShuffle
@59D118 BtlSetParty
@59D1FB BtlEscapeFlgSet
@59D213 BtlSetWallView
@59D22A BtlStart
@59D25B BtlGetCentorX
@59D28D BtlGetCentorY
@59D2D0 SCRPC<0D>
@59D2D8 CODE*<0B>
@59D2E9 AD0_R_3A
@59DE0A FUNC<05><02>
@59DE21 BgIntAttr
@59DE33 BgSetAttrEnables
@59DE4C SetBabbo
@59DE95 SetDungCnt
@59DEA8 PmbDefFashion
@59DEED PmbDeckMake
@59DF01 PmbStatusInit
@59DF33 PmbSetParty
