// MAR strings block 6D0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@6DB4AE ST@<10>CD@<14>E5
@6DB4ED 04AD@CQ5DQ<14>TC<13>S<14>E<14>C
@6DB50B D11DT4AC<14>TAAETQ31DAD1<04>
@6DB534 CE3DA144TACD
@6DB5A0 @QTC@1D<14>
@6DB5D5 @4D@<13>AC
@6DB644 4C1<04>4C<14>3T4<13>T5ETDJD3TJ<11>C<11>JCT<13>@
@6DB6C5 @C5@3<15>T
@6DB770 D4D<04>3<15>1<04>E<11>C
@6DB7C1 ADD@4<11>A<13>ADC4ES4
@6DB7D1 4<15>D@DD4
@6DB865 ED<04>D4D
@6DB874 4<15>1<04>C4D<04><14>E<04>
@6DB8CD 4ED@<13>AS
@6DB9E0 E<14>CDC<13>STDQ<14>T@CQ404A1
@6DBA00 A<14>CEQ<13><13>EAQ<14>CAC<14><13>1<04>T<14>E
@6DBA1E @<04>TD4AEDD<13>A3D4EE
@6DBA40 ET<14>3DD1<04>DDC
