// MAR strings block 710000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@71B5D6 `D`<06>@DFdDD
@71B5F8 FDDDDDDDFdDD`<06>@D
@71B620 DDDDFDDD
@71B65C DDDdDDDdDDd
@71B7F8 d`DDDDDD
@71B818 DDDDDDDD
@71B838 DDDDDDDDFdDd`<06>
@71B860 DDDDd`DDD<06>
@71B880 DDDDDDDD
@71B8A0 DDDDDDDD
@71BA45 D<04>D@<04>DD@<04>DD
@71BA68 DD@<04>DD@<04>D
