// MAR strings block 960000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@961CEC MAP06_2A.KCG
@961D2C MAP06_2A.KCL
@969E9C MAP06_A.KCG
@969EDC MAP06_A.KCL
@96A450 '<04>&<04>%<04>N"O"P"QB<03>
@96A465 C<11>C<12>C<03>
@96A472 &<02><02><08><03><08><02><08><03><08><02><08>#
@96A490 "<08>#<08><02>
@96A4F0 "<08>#<08><02>
@96A508 #<04>#<08>"<08><03>
@96A680 a<03>b<03>"<04><03><0C>"
@96A6EA  <03>!<03>"<03>C<03>D<03><01><0F>
@96A6FC #<04><02><08>"
@96A702 "<04>"<0C><02>
@96A878 "<08>"<0C>
@96A87E e<0B><02><04>"
@96A8F2 #<0C><02><08><03><08>"
@96A904 e<07>a<07>"<0C><02><08>"
@96A966 j<02>k<02>l<02>m<02><02><0C>"<04><03><0C><02><08><03><08><02><08>#
@96AA00 #<04>#<08>"<08>#<08>E
@96AB04 B<0B>"<0C><02>
@96AB0C j<02>k<02>l<02>m<02>"
@96AB56 j<02>k<02>l<02>m<02><06><02><07><02><08><02><09><02>"<0C><02>
@96ABE4 "<08><03><08>"
@96AC58 D<05>D<01>EAE
@96AC69 B<04>B<05><02>#
@96AC70 "<08>#<08><02>
@96AC78 #<04>#<08>"<08><03>
@96ACFA "<0C>#<04><02><08>#
@96AD80 '<02>(<02>c<03>"<0C><02>
@96AD8A J<02>K<02>L<02>M<02><02>
