// MAR strings block 970000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@9701D0 7<02>8<02>U<02>8<02><0A>
@9701F2 U<02>V<02><0C>
@9701FC U<02>V<02><0C>
@970250 5<02>6<02>7<02>3
@97025E R<01>S<01>T<01><11><05><0C><01><0D><01><0E><01><08><01><09><01><0A><01><0B><01><0C><01><0E><01><08><01><09><01><0A><01><0B><01><0C><01><0E><01><08><01><09><01><0A><01><0B><01><0C><01><0D><01><0E><01><08><01><09><01><0A><01><0B><01><0C><01><0D><01><0E><01><08><01><09><01><0A><01><0B><01><0C><01><0D><01><0E><01>q
@97035E t<01>1<05>,<01>-<01>.<01>(<01>)<01>*<01>+<01>,<01>.<01>(<01>)<01>*<01>+<01>,<01>.<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>U<04>Y
@97045E v<01>6<01>N<01>H<01>I<01>J<01>K<01>L<01>N<01>H<01>I<01>J<01>K<01>L<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>u<04>y
@970566 *<02>+<02>,<02>-<02>"
@9705A6 5<02>6<02>3
@970804 #<08>"<08><02><08><02>
@970C40 V<01><02><08><02>
@970D08 #<08><02><08><02>
@970D44 %<07>$<07>#<07>@<07>c<07>b<07>a<07>`<07><03>
@970D68 @<03>A<03>$<0B>B<03>e<03>@<03>A<03><03><0B><04><0B><02><0B><03><0B><04><0B>$<03>U<04>Y
@970DC6 \<0B>]<0B><1E><03><1F><03>#
@970E3E #<04>E<07>D<07>C<07>"<04>#<04>"<04>#<04>#<0C>#
@970E66 a<03>a<03>b<03><02><08>`<03>a<03>#<03>$<03>"<03><03><0B><04><0B>#<0B>u<04>y
@970ED4 "<08>#<08>"<08>#<08><02>
@970F36 "<08>"<08><03><04>e<07>d<07>c<07><03><04><02><04><03><04><02><04><02><0C>#
@970F4E "<08>"<08>"
@971004 a<03>b<03><02>
@972D6A #<08>"<08><02><08><02>
@973248 `<0B>a<0B>b<0B>c<0B>d<0B>e<0B>#<08>"<08>"
@97333A #<08>"<08>#<08><03><08><02><08>@<0B>A<0B>B<0B>C<0B>D<0B>E<0B><02><08><02><08>#
@97335C B<0F>A<0F>@<0F><02><0C><03>
@97343C #<08>"<08> <0B>!<0B>"<0B>#<0B>$<0B>%<0B>@<0F>#<0C>"<08>"<08> <0B>!<0B>"<0F>!<0F> <0F>"<0C>#
@9734B0 "<08>"<08>#
@9734C0 "<08>"<08>#
@9734F8 "<08>"<08>#
@97353E @<03>A<03><03><0B>$<0F>#<0F>A<0F>@<0F>b<0B><02><08>
@97356A a<03>b<03><02>
@97358C r<01>s<01>t<01><1F><06>*<02>+<02>,<02>-<02>"
@9735A0 "<08>"<08>#
@9735B4 "<08>"<08>#
@973606 "<08>"<08>#
@973612 "<08>"<08>#
@97363A `<03>a<03>$<0B>B<03>C<03>#<0B>$<0B>B<0B>#<0B>$<0B>"<0B>#<0F>"<0F>$<0F>
@97365A b<0F>a<0F>#
@97372C "<08>#<08>"<08>#<08>"
@97382A "<08>#<08>"<08>#
