// MAR strings block 980000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@985A1B Y ]`a<1F>
@985A9D n`r <03>
@985ADC MAP07_2A.KCG
@985B1C MAP07_2A.KCL
@985BF4 '<10>(<10>)<10>*<10>+<10>,<10>-<10>.<10>/<10>0<10>1
@985C2A @<10>A<10>B<10>C<10>D<10>E<10>F<10>G<10>H<10>I<10>J<10>K<10>L<10>M
@985C64 ]<10>^<10>_<10>`<10>a<10>b<10>c<10>d<10>e<10>f<10>g<10>h<10>i<10>j<10>k<10>l<10>m
@985C86 n<10>n<10>n<10>n<10>n<10>n<10>n<10>n<10>o
@985F07 A<01>A<02>A<03>A
@985F0F A<04>A<05>A<06>A<07>A<08>A<09>A<0A>A<0B>A<0C>A<05>A<0D>A
@986AF4 '<10>(<10>)<10>*<10>+<10>,<10>-<10>.<10>/<10>0<10>1
@986B2A @<10>A<10>B<10>C<10>D<10>E<10>F<10>G<10>H<10>I<10>J<10>K<10>L<10>M
@986E96 ^<03>_<03>`<03>a<03>d<03>e<03>f<03>
@986ED2 p<03>q<03>r<03>s<03>v<03>w<03>x<03>
@986F98 b<03>c<03>
@987625 S<03>S<04>S<05>S<1F>R<1E>R<1F>R<1F>R<1D>R<1F>R8V<03>V8V<03>V<1D>R<03>V8V<03>V8V<03>V
@987661 R8R<03>R8R<03>R8R<03>R8R<03>R8R<1E>V<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@9876A3 R<1F>R<1E>R<1F>R<1E>R<1F>R<1E>R8V<03>V8V<03>V8V<03>V8V
@9876DE 8R<03>R8R<03>R8R<03>R8R<1E>V<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@98771B R<1D>R<1E>R<1F>R<1E>R<1F>R<1E>R8V<03>V8V<03>V8V<03>V8V
@987756 8R<03>R8R<03>R8R<03>R8R<1E>V<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@987793 R<1F>R<1E>R<1F>R<1E>R<1F>R<1E>R8V<03>V8V<1D>R8V<03>V8V
@9877CE 8R<03>R8R<03>R8R<03>R8R<1E>V<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@98780B R<1F>R<1E>R<1F>R<1E>R<1F>R<1E>R8V<03>V8V<03>V8V<03>V8V
@987846 8R<03>R8R<03>R8R<03>R8R<1E>V<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@987883 R<1F>R<1D>R<1F>R<1E>R<1F>R<1E>R8V<03>V8V<03>V8V<03>V8V
@9878BE 8R<03>R8R<03>R8R<03>R8R<1D>R<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@9878FB R<1F>R<1E>R<1F>R<1E>R<1F>R<1E>R8V<03>V8V<03>V8V<03>V8V
@987936 8R<03>R8R<03>R8R<03>R8R<1E>V<1F>V<1E>V<1F>V<1E>V<1F>V<1E>V
@98EA3C MAP07_3A.KCG
@98EA7C MAP07_3A.KCL
