// MAR strings block 990000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@997BAC MAP07_A.KCG
@997BEC MAP07_A.KCL
@99BC22 U<02>V<02><0A>
@99BC3E U<02>V<02><0A>
@99BCA2 U<02>V<02><0A>
@99BCBA L<01>M<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>u<04>y
@99BD14 U<02>V<02><0A>
@99BD24 U<02>V<02><0A>
@99BD7C U<02>V<02><0A>
@99C03C 6<01>7<01><02>
@99C042 `<0B>a<0B>b<0B>c<0B>d<0B>e<0B>#<08>"<08>"
@99C118  <02>!<02>$<02>%<02><03>
@99C2E0 V<01>V<09><03><0C>@<0B>A<0B>B<0B>C<0B>D<0B>E<0B><02><08><02><08>#
@99C5A8 "<08>"<08><03>
@99C66A  <02>!<02>"<02><04><02><05><02><02>
@99C9EA Y<05><15><01><16><01><17><01>"
@99CAF8 B<0F>A<0F>B<07><03><0F>B<07>$<0F>a<07>`<07>#<04><18><01><19><01><1A><01><1B><01><14>
@99CBA0 6<01>7<01><02>
@99CE44 V<01>W<01>"
@99CF44 #<08>"<08><02><08><02>
@99D01E "<08> <03>!<03>"<03>"<03>#<03>#<03><04><03><02><03><02><03><03><03><03><03><03><03><02><03><03><03><03><03><03><03>#<07>#<07>"<07>"<07>!<07> <07>"<0C>"<04>#<04>X<01>Y<01>Z<01>[<01>4
@99D0E8 v<01>w<01><02>
@99D2EE c<0B>d<0B>e<0B>#<08>x<01>y<01>z<01>{<01><14>
@99D79E *<02>+<02>,<02>-<02>*<02>+<02>,<02>-<02>"<08>"
@99DA42 J<02>K<02>L<02>M<02>J<02>K<02>L<02>M<02><02>
