// MAR strings block A30000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@A377FC MAP10_1A.KCG
@A3783C MAP10_1A.KCL
@A378A1 p<02>p<02>p<06><10><06><10><06><10><06><10><06><10><06><10><06><10><03>
@A3793E $<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>#
@A37956 `<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>&<10>#
@A37A5B p<02>p<02>p<02>p<02>p<02>p1<11><0A><11>.<11>/<01>0<01>1<11><0A><11><0B><01><0C>Q<0D>1<0B>0<0C>0
@A37A7F !<01>!<02>!<03>!<04>!<05>!<0C>Q<0A>
@A3891E |<02>}<02>
@A38D3A |<02>}<02>
@A38ED8 'C(<13>)C
@A391E8 7<10>8<10>9<10>:<10>;<10>
@A39210 7<10>8<10>9<10>:<10>;<10>
@A39286 S<10>T<10>
@A392C6 7<10>8<10>9<10>:<10>;<10>
@A392F0 .<11>/<01>0<01>s<10>t<10>
@A39404 ^p_pzpzpzpzpzpzpzpzpzpzpzpzpzpzpzpzpzpzpyt<02>p<02>pyp<3C>p=p
