// MAR strings block A60000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@A6338C MAP11_A.KCG
@A633CC MAP11_A.KCL
@A67835 A<0E>A<0F>A<10>A
@A67934 -A.A/A0A
@A67981 p<0E>p<13>p<14>p
@A679A4 6<08>7<08>6<04><17>
@A67A34 MANAOAPA
@A6AA40 <3C><04>;<04>
@A6AA78 <3C><05><3C><05><3C><04>;<04>;
@A6AA84 <3C><05><3C><05>\<0C>[<0C>
@A6AAA2 <3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01>|<04>{<04>
@A6AB06 [<08>\<08><3C><01><3C><01><3C><04>;<04>;
@A6AB16 <3C><01><3C><01><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01>\<04>[<04>
@A6AC78 <3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><1C><04><1B><04><1B>
@A6AD78 <3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><04>;<04>;
@A6ADF4 |<09><3C><05><3C><01><3C><01><3C><04>;<04>;
@A6AF78 <3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C>
@A6B076 <3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><04>;<04>
@A6B176 <3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01>\<04>[<04><1B>
@A6B1E8 <3C><05><3C><05><3C><01>|<0D><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><05><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><01><3C><04>;<04>
