// MAR strings block D60000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@D6955C MAP26_1A.KCG
@D6959C MAP26_1A.KCL
@D6AE1C AD4_P_0A.KCG
@D6AE5C AD4_P_0A.KCL
@D6B03E r<12>r<12><05>
@D6B07E r<12>r<12><05>
@D6B0BE r<12>r<12><05>
@D6B0FE r<12>r<12><05>
@D6B13E r<12>r<12><05>
@D6B17E r<12>r<12><05>
@D6B1BE r<12>r<12><05>
@D6B1FE r<12>r<12><05>
@D6B23E s<14>r<12><05>
@D6B2BE ^<14>r<12><05>
@D6B2FE p<14>r<12><05>
@D6B33E U<14>r<12><05>
@D6B3BE D<15>r<12><05>
@D6B3FE T<15>r<12><05>
@D6B43E g<15>r<12><05>
@D6B47E r<12>r<12><05>
@D6B4BE r<12>r<12><05>
@D6B4FE r<12>r<12><07>
@D6B53E r<12>r<12><15>
@D6B57E r<12>r<12>!
@D6B5BC !<04>r<12>r<12>,
