// MAR strings block DB0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@DB57BC SP_BG01.KCG
@DB57FC SP_BG01.KCL
@DB5AD4  <01>!<01>"<01>
@DB5AE0 #<01>$<01>%<01>&<01>'<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>/<01>0<01>1<01>2<01>3<01>4<01>5<01>6<01>7<01>8<01>9<01>:<01>;<01><3C><01>=<01><3E><01>?<01>
@DB5B20 @<01>A<01>B<01>C<01>D<01>E<01>F<01>G<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>O<01>P<01>Q<01>R<01>S<01>T<01>U<01>V<01>W<01>X<01>Y<01>Z<01>[<01>\<01>
@DB8A0C SP_BG11.KCG
@DB8A4C SP_BG11.KCL
@DB8DC6  <01>!<01>"<01>#<01>$<01>%<01>&<01>'<01>(<01>)<01>*<01>+<01>
@DB8DF0 ,<01>-<01>.<01>/<01>0<01>1<01>2<01>3<01>4<01>5<01>6<01>7<01>8<01>9<01>:<01>;<01><3C><01>=<01><3E><01>?<01>@<01>A<01>B<01>
@DB8E30 C<01>D<01>E<01>F<01>G<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>O<01>P<01>Q<01>R<01>S<01>T<01>U<01>V<01>W<01>X<01>Y<01>
@DB8E70 Z<01>[<01>\<01>]<01>^<01>_<01>`<01>a<01>b<01>c<01>d<01>e<01>f<01>g<01>h<01>i<01>j<01>k<01>l<01>m<01>n<01>o<01>p<01>
@DBC99C SP_BG21.KCG
@DBC9DC SP_BG21.KCL
@DBCCB4  <01>!<01>"<01>
@DBCCC0 #<01>$<01>%<01>&<01>'<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>/<01>0<01>1<01>2<01>3<01>4<01>5<01>6<01>7<01>8<01>9<01>:<01>;<01><3C><01>=<01><3E><01>?<01>
@DBCD00 @<01>A<01>B<01>C<01>D<01>E<01>F<01>G<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>O<01>P<01>Q<01>R<01>S<01>T<01>U<01>V<01>W<01>X<01>Y<01>Z<01>[<01>\<01>
@DBFA4C SP_BG22.KCG
@DBFA8C SP_BG22.KCL
@DBFD64  <01>!<01>"<01>
@DBFD70 #<01>$<01>%<01>&<01>'<01>(<01>)<01>*<01>+<01>,<01>-<01>.<01>/<01>0<01>1<01>2<01>3<01>4<01>5<01>6<01>7<01>8<01>9<01>:<01>;<01><3C><01>=<01><3E><01>?<01>
@DBFDB0 @<01>A<01>B<01>C<01>D<01>E<01>F<01>G<01>H<01>I<01>J<01>K<01>L<01>M<01>N<01>O<01>P<01>Q<01>R<01>S<01>T<01>U<01>V<01>W<01>X<01>Y<01>Z<01>[<01>\<01>
