// MAR strings block DD0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@DD613C ST_BG11.KCG
@DD617C ST_BG11.KCL
@DD6442  <01>!<01>"<01>#<01>$<01>%<01>&<01>'<01>(<01>)<01>*<01>+<01>,<01>
@DD6460 -<01>.<01>/<01>0<01>1<01>2<01>3<01>4<01>5<01>6<01>7<01>8<01>9<01>:<01>;<01><3C><01>=<01><3E><01>?<01>@<01>A<01>B<01>C<01>D<01>E<01>F<01>G<01>H<01>I<01>J<01>
@DD64A0 K<01>L<01>M<01>N<01>O<01>P<01>Q<01>R<01>S<01>T<01>U<01>V<01>W<01>X<01>Y<01>Z<01>[<01>\<01>]<01>^<01>_<01>`<01>a<01>b<01>c<01>d<01>e<01>f<01>g<01>h<01>
@DD6666  <02>!<02>"<02>#<02>$<02>%<02>&<02>'<02>(<02>)<02>*<02>+<02>,<02>-<02>.<02>/<02>0<02>1<02>2<02>3<02>4<02>5<02>6<02>7<02>8<02>9<02>:<02>
@DD66A0 ;<02><3C><02>=<02><3E><02>?<02>@<02>A<02>B<02>C<02>D<02>E<02>F<02>G<02>H<02>I<02>J<02>K<02>L<02>M<02>N<02>O<02>P<02>Q<02>R<02>S<02>T<02>U<02>V<02>W<02>X<02>
@DD69E0 NCD (C)2004 NOBODY
@DD6B20 AD_ALL_O<0C>
@DD8A80 BT_SET01N<02>
@DD8B00 CM_SGG01l<02>
@DD8B10 CM_SGG02m<02>
