// MAR strings block DF0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@DF8300 L@<10>@<0D><02>
@DF838C ,@<10>@<0D><02>
@DF83DC ,@<10>@<0D><02>
@DF842C ,@<10>@<0D><02>
@DF847C ,@<10>@<0D><02>
@DF8A6D @<0C>@<05>
@DF8AD1 @<0C>@<05>
@DF8B48  @<0C>@<05>
@DF8BE9 @<0C>@<05>
@DF8C89 @<0C>@<05>
@DF8CED @<0C>@<05>
@DF8D51 @<0C>@<05>
@DF8DB5 @<0C>@<05>
@DF8E19 @<0C>@<05>
@DF8E7D @<0C>@<05>
@DFB912 p@<14><02>
@DFBA2A 0@<14><02>
@DFBAA2 0@<14><02>
@DFBB42 0@<14><02>
@DFBC0A 0@<14><02>
@DFBC96 @@<14><02>
@DFBD22 @@<14><02>
@DFBEEE $@<14><02>
@DFC07E L@<14><02>
@DFC222 $@<14><02>
@DFC272 ,@<14><02>
@DFC2C2 (@<14><02>
@DFC39E $@<14><02>
@DFC452 \@<14><02>
@DFC4A2 $@<14><02>
@DFC5F6 \@<14><02>
@DFC75E L@<14><02>
@DFC7EA L@<14><02>
@DFD1D5 @<0C>@<05>
@DFD2B1 @<0C>@<05>
@DFD78A p@<15><02>
@DFD82A p@<15><02>
@DFD8CA p@<15><02>
@DFD96A p@<15><02>
@DFDA0A p@<15><02>
@DFDAAA p@<15><02>
@DFDB4A p@<15><02>
@DFDBEA p@<15><02>
@DFDC8A p@<15><02>
@DFDD2A p@<15><02>
@DFDDCA p@<15><02>
@DFDE6A p@<15><02>
@DFDF0A p@<15><02>
@DFDFAA p@<15><02>
@DFE04A p@<15><02>
@DFE0EA p@<15><02>
@DFE18A p@<15><02>
@DFE22A p@<15><02>
@DFE2CA p@<15><02>
@DFE36A p@<15><02>
@DFE496 p@<15><02>
@DFE536 p@<15><02>
@DFE5D6 p@<15><02>
@DFE676 p@<15><02>
@DFE716 p@<15><02>
@DFE7B6 p@<15><02>
@DFE856 p@<15><02>
@DFE8F6 p@<15><02>
@DFE996 p@<15><02>
@DFEA36 p@<15><02>
@DFEAD6 p@<15><02>
@DFEB76 p@<15><02>
@DFEC16 p@<15><02>
@DFECA2 \@<16><02>
@DFF102 P@<16><02>
@DFF151 @<18>@<16><02>
@DFF165 @8@<16><02>
@DFF21A P@<16><02>
@DFF269 @<18>@<16><02>
@DFF27D @8@<16><02>
@DFF332 P@<16><02>
@DFF381 @<18>@<16><02>
@DFF395 @8@<16><02>
@DFF44A P@<16><02>
@DFF499 @<18>@<16><02>
@DFF4AD @8@<16><02>
@DFF7E2 P@<16><02>
@DFF831 @<18>@<16><02>
@DFF845 @8@<16><02>
@DFF8FA P@<16><02>
@DFF949 @<18>@<16><02>
@DFF95D @8@<16><02>
@DFFA12 P@<16><02>
@DFFA61 @<18>@<16><02>
@DFFA75 @8@<16><02>
@DFFB2A P@<16><02>
@DFFB79 @<18>@<16><02>
@DFFB8D @8@<16><02>
@DFFF62 p@<15><02>
