// MAR strings block F10000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@F123DE BTI_N.SPC
@F12424 BTI_DUNG.SPC
@F12456 GetPlayMode
@F124DE BTO_N.SPC
@F12524 BTO_DUNG.SPC
@F12556 GetPlayMode
@F12623 CH_M00A.SPC
@F12689 CH_M01A.SPC
@F126C2 MAP01_3A
@F126F0 CH_M01_3.SPC
@F12757 CH_M03A.SPC
@F127BD CH_M05A.SPC
@F12823 CH_M08A.SPC
@F12889 CH_M09A.SPC
@F128EF CH_M10.SPC
@F12954 CH_M11.SPC
@F1298C MAP11_1A
@F129BA CH_M11_1.SPC
@F12A21 CH_M24_A.SPC
@F12A5B MAP26_6A
@F12A89 CH_M26_6.SPC
@F12AF0 CH_M42A.SPC
@F12B29 AD0_R_3A
@F12B57 CH_ESC.SPC
@F12C30 SCRP<1E><08>
@F12C38 CODEz<06>
@F12C60 DUNG_DEF.SPC
@F132C2 SetCrtFade
@F13317 DungGenInit
@F1333B DungGenMake
@F1335F DungGenGetChrX
@F133B9 DungGenGetChrY
@F133E0 DungSetFloor
@F13405 DungDispCoffer
@F1342C DungGenStart
@F134AE HI_NORM.SPC
@F134F6 HI_DUNG.SPC
@F13526 GetPlayMode
@F13590 OPEN.SPC
@F135BE SetCrtFade
@F135F8 CODEb<06>
@F139F2 W_MAP.SPC
@F13AE1 MAP11_1A.SPC
@F13BEA MAP11_2.SPC
@F13C62 FUNCb<01>
@F13C6A GetIrqCause
@F13F11 MAP01_A.SPC
@F13FB1 MAP40_A.SPC
@F14108 MAP00_A.SPC
@F141A8 MAP01_1A.SPC
@F141FF MAP01_1A
@F14318 MAP01_A.SPC
@F143B8 MAP01_2A.SPC
@F14459 MAP01_4A.SPC
@F144FA MAP01_5A.SPC
@F14561 MAP01_2A
@F1467A MAP01_1A.SPC
@F1471B MAP01_3A.SPC
@F14772 MAP01_3A
@F148A2 MAP01_2A.SPC
@F148F1 MAP01_4A
@F149F3 MAP01_1A.SPC
@F14A42 MAP01_5A
@F14B44 MAP01_1A.SPC
@F14CAB MAP08_A.SPC
@F14CD9 W_MAP.SPC
@F14DDF MAP41_A.SPC
@F14F55 MAP42_A.SPC
@F14FA8 EV_ICE06.SPC
@F15095 MAP04_4A.SPC
@F150EC MAP04_4A
@F151EE MAP04_A.SPC
@F15268 MAP04_5A.SPC
@F152BF MAP04_5A
@F153D8 MAP04_6A.SPC
@F15479 MAP04_4A.SPC
@F154D0 MAP04_6A
@F155D2 MAP04_5A.SPC
@F15621 MAP04_7A
@F15723 MAP04_5A.SPC
@F15873 MAP10_A.SPC
@F158FF W_MAP.SPC
@F15A05 MAP06_1A.SPC
@F15A5C MAP06_1A
@F15B75 MAP06_A.SPC
@F15C15 MAP06_2A.SPC
@F15C6C MAP06_2A
@F15D85 MAP06_1A.SPC
@F15F03 MAP11_1A.SPC
@F15FA4 MAP07_2A.SPC
@F15FFB MAP07_2A
@F16114 MAP07_A.SPC
@F16162 MAP07_3A
@F1627B MAP07_2A.SPC
@F16308 W_MAP.SPC
@F1640E MAP05_A.SPC
@F16516 MAP10_1A.SPC
@F16575 MAP10_1A
@F1668E MAP10_A.SPC
@F16709 S_MAP11.SPC
@F16742 MAP11_1A
@F1685B MAP11_A.SPC
@F168FB MAP07_A.SPC
@F16951 MAP11_2A
@F16A6A MAP11_A.SPC
@F16B0A MAP24_A.SPC
@F16C78 MAP03_A.SPC
@F16D04 W_MAP.SPC
@F16E0A MAP42_A.SPC
@F16F78 MAP00_A.SPC
@F17018 MAP03_A.SPC
@F17186 MAP03_A.SPC
@F17226 MAP09_A.SPC
@F17394 MAP09_A.SPC
@F17434 MAP04_A.SPC
@F174A3 G_EV010.SPC
@F1753E MAP10_A.SPC
@F1769D MAP11_2.SPC
@F17768 MAP24_1A.SPC
@F17809 MAP25_1A.SPC
@F178AA MAP26_1A.SPC
@F17911 MAP24_1A
@F17A13 MAP24_A.SPC
@F17A8D MAP24_2A.SPC
@F17AE4 MAP24_2A
@F17BE6 MAP24_1A.SPC
@F17C61 MAP24_4A.SPC
@F17CB8 MAP24_4A
@F17DBA MAP24_2A.SPC
@F17E09 MAP25_1A
@F17F0B MAP24_A.SPC
@F17F85 MAP25_2A.SPC
@F17FDC MAP25_2A
@F180DE MAP25_1A.SPC
@F18159 MAP25_4A.SPC
@F181B0 MAP25_4A
@F182B2 MAP25_2A.SPC
@F1832D MAP25_5A.SPC
@F18384 MAP25_5A
@F18486 MAP25_4A.SPC
@F184D5 MAP26_1A
@F185D7 MAP24_A.SPC
@F18651 MAP26_2A.SPC
